opID,subgen
3722,Dramă
3723,Război
3724,Dramă
3725,Război
3726,Matematică
3727,Romantic
3728,Familie
3729,Informatică
3730,Informatică
3731,SF
3732,Fizică
3733,Informatică
3734,Romantic
3735,Romantic
3736,Dramă
3737,Război
3738,Familie
3739,Matematică
3740,Informatică
3741,Romantic
3742,Istorie
3743,Istorie
3744,Istorie
3745,Romantic
3746,Familie
3747,Război
3748,Romantic
3749,Matematică
3750,SF
3751,Romantic
3752,SF
3753,Dramă
3754,Familie
3755,Romantic
3756,Istorie
3757,Informatică
3758,Informatică
3759,Matematică
3760,SF
3761,Informatică
3762,Dramă
3763,SF
3764,Familie
3765,Război
3766,Fizică
3767,Război
3768,Dramă
3769,Informatică
3770,Familie
3771,Informatică
3772,Dramă
3773,Istorie
3774,Matematică
3775,Familie
3776,Dramă
3777,Istorie
3778,Istorie
3779,Informatică
3780,SF
3781,Informatică
3782,Romantic
3783,Istorie
3784,SF
3785,Război
3786,Informatică
3787,Fizică
3788,Istorie
3789,SF
3790,Istorie
3791,Istorie
3792,SF
3793,Război
3794,Istorie
3795,Familie
3796,SF
3797,Istorie
3798,Matematică
3799,Dramă
3800,Istorie
3801,Matematică
3802,Fizică
3803,Matematică
3804,Război
3805,Istorie
3806,Familie
3807,Fizică
3808,Dramă
3809,Matematică
3810,Fizică
3811,Istorie
3812,Dramă
3813,SF
3814,SF
3815,Dramă
3816,Familie
3817,Război
3818,Informatică
3819,Informatică
3820,SF
3821,Romantic
3822,SF
3823,Familie
3824,Matematică
3825,Informatică
3826,Dramă
3827,Istorie
3828,Dramă
3829,Fizică
3830,Informatică
3831,Război
3832,Dramă
3833,Familie
3834,Informatică
3835,Informatică
3836,Dramă
3837,Istorie
3838,Romantic
3839,Dramă
3840,Fizică
3841,Fizică
3842,Romantic
3843,Dramă
3844,Război
3845,Matematică
3846,Istorie
3847,Istorie
3848,Dramă
3849,Fizică
3850,Romantic
3851,Matematică
3852,Dramă
3853,Familie
3854,Informatică
3855,Informatică
3856,SF
3857,Romantic
3858,Istorie
3859,Război
3860,Familie
3861,Război
3862,Război
3863,Matematică
3864,Fizică
3865,Război
3866,Dramă
3867,Matematică
3868,Matematică
3869,Război
3870,Război
3871,Informatică
3872,Dramă
3873,SF
3874,Familie
3875,SF
3876,Familie
3877,Dramă
3878,Familie
3879,Familie
3880,Informatică
3881,Dramă
3882,Familie
3883,Istorie
3884,Romantic
3885,SF
3886,Informatică
3887,Dramă
3888,Romantic
3889,Fizică
3890,Istorie
3891,SF
3892,Război
3893,SF
3894,Istorie
3895,Informatică
3896,Romantic
3897,Dramă
3898,Romantic
3899,Fizică
3900,Fizică
3901,Dramă
3902,Familie
3903,Romantic
3904,Romantic
3905,Război
3906,Familie
3907,SF
3908,SF
3909,Romantic
3910,Informatică
3911,Informatică
3912,Informatică
3913,Fizică
3914,Informatică
3915,Matematică
3916,Fizică
3917,Familie
3918,Informatică
3919,Istorie
3920,Fizică
3921,Informatică
3922,Dramă
3923,Informatică
3924,Romantic
3925,Familie
3926,Familie
3927,Romantic
3928,Romantic
3929,Război
3930,Familie
3931,SF
3932,Informatică
3933,Istorie
3934,SF
3935,Matematică
3936,Romantic
3937,Romantic
3938,Romantic
