autID,nume,prenume
1004,Pierre Napoléon,prince
1005,Church,R. W. (Richard William)
1006,Corréard,Alexandre
1007,Savigny,Jean Baptiste Henri
1008,Withers,Hartley
1009,Doe,Human Genome Project
1010,Doe,Electronic Frontier Foundation
1011,Doe,Library of Congress. Copyright Office
1012,Dumas,Alexandre
1013,Draper,John William
1014,Haworth,Paul Leland
1015,Meynell,Alice
1016,Sewell,Anna
1017,Aaron,S. F. (Samuel Francis)
1018,Whipple,Wayne
1019,Benjamin,Earl of Beaconsfield
1020,Swinburne,T. R.
1021,Jefferies,Richard
1022,Dobie,Charles Caldwell
1023,Colum,Padraic
1024,Pakkala,Teuvo
1025,Burt,Emily Rose
1026,Webster,Frank V.
1027,Pink,Alfred
1028,Delorme,Amédée
1029,Angell,Norman
1030,Coues,Elliott
1031,Bühler,Georg
1032,Sluijters,Hendrik
1033,Burslem,Rollo Gillespie
1034,Muller,Eugène
1035,Bragdon,Claude Fayette
1036,Congreve,William
1037,Benson,Arthur Christopher
1038,Richmond,Grace S. (Grace Smith)
1039,Linnankoski,Johannes
1040,Burgess,Thornton W. (Thornton Waldo)
1041,Lawless,Emily
1042,Weyman,Stanley John
1043,Bill,Ledyard
1044,Lyth,J. (John)
1045,Archer,W. G. (William George)
1046,Schubert,Hermann
1047,Rush,Richard
1048,Houssaye,Arsène
1049,Naylor,H. R.
1050,Earle,Augustus
1051,Finck,Henry Theophilus
1052,Spurgeon,Caroline F. E. (Caroline Frances Eleanor)
1053,Herr,Charlotte B. (Charlotte Bronte)
1054,Mackey,Albert Gallatin
1055,Bompas,Cecil Henry
1056,Jordan,David Starr
1057,Rougemont,Louis de
1058,Le Sage,Alain René
1059,Doe,University of Pennsylvania. Seybert Commission for Investigating Modern Spiritualism
1060,Guizot,François
1061,Southall,Eliza Allen
1062,Rhodes,Eugene Manlove
1063,Beers,Clifford Whittingham
1064,Royden,A. Maude (Agnes Maude)
1065,Symons,John C. (John Christian)
1066,Lönnrot,Elias
1067,O'Brien,Seumas
1068,Brame,Charlotte M.
1069,Wallace,W. Stewart (William Stewart)
1070,Cowper,William
1071,Boldrewood,Rolf
1072,Graham,Stephen
1073,Stanton,Elizabeth Cady
1074,James,William
1075,Carter,Nicholas
1076,Head,Franklin H. (Franklin Harvey)
1077,Dodge,Mary Mapes
1078,Biggs,Charlotte
1079,Stables,Gordon
1080,Furman,Lucy S.
1081,Kennedy,Charles Rann
1082,Rabelais,François
1083,Burritt,Elihu
1084,Grote,George
1085,Couperus,Louis
1086,Lautréamont,comte de
1087,Havell,E. B. (Ernest Binfield)
1088,Monteyne,Lode
1089,Roland Holst-Van der Schalk,Henriette
