ISBN,editura,calea,an_aparitie,rating,opID
10232,La martiniere,http://www.gutenberg.org/files/10232/10232-m/10232-m-readme.txt,2003,5,262
10233,House,http://www.gutenberg.org/ebooks/10233.rdf,2003,8,263
10234,Whiley,http://www.gutenberg.org/files/10234/10234-8.zip,2003,10,264
10235,Informa,http://www.gutenberg.org/ebooks/10235.rdf,2003,5,265
10236,Whiley,http://www.gutenberg.org/files/10236/10236-m/10236-m-001.mp3,2003,5,266
10237,Boneir,http://www.gutenberg.org/files/10237/10237-m/10237-m-001.mp3,2003,4,267
10238,Holtzbrinck,http://www.gutenberg.org/files/10238/10238-m/10238-m-001.mp3,2003,2,268
10239,House,http://www.gutenberg.org/ebooks/10239.rdf,2003,6,269
1024,Relx Group,http://www.gutenberg.org/ebooks/1024.epub.noimages,2006,2,270
10240,ThomsonReuters,http://www.gutenberg.org/ebooks/10240.rdf,2003,7,271
10241,Boneir,http://www.gutenberg.org/files/10241/10241-m/10241-m-readme.txt,2003,7,272
10242,Abril Educacao,http://www.gutenberg.org/files/10242/10242-m/10242-m-readme.txt,2003,9,273
10243,Holtzbrinck,http://www.gutenberg.org/files/10243/10243-m/10243-m-001.mp3,2003,8,274
10244,Boneir,http://www.gutenberg.org/files/10244/10244-m/10244-m-001.mp3,2003,7,275
10245,La martiniere,http://www.gutenberg.org/ebooks/10245.rdf,2003,2,276
10246,Scholastic,http://www.gutenberg.org/files/10246/10246-m/10246-m-001.mp3,2003,1,277
10247,RCS Libri,http://www.gutenberg.org/files/10247/10247-m/10247-m-001.mp3,2003,2,278
10248,Penguin Random,http://www.gutenberg.org/files/10248/10248-m/10248-m-readme.txt,2003,1,279
10249,Scholastic,http://www.gutenberg.org/ebooks/10249.rdf,2003,7,280
1025,Relx Group,http://www.gutenberg.org/ebooks/1025.txt.utf-8,1997,1,281
10250,Klett,http://www.gutenberg.org/ebooks/10250.rdf,2003,9,282
10251,Boneir,http://www.gutenberg.org/ebooks/10251.txt.utf-8,2003,7,283
10252,Boneir,http://www.gutenberg.org/ebooks/10252.rdf,2003,7,284
10253,Scholastic,http://www.gutenberg.org/files/10253/10253-m/10253-m-readme.txt,2003,2,285
10254,Informa,http://www.gutenberg.org/files/10254/10254-m/10254-m-001.mp3,2003,10,286
10255,Group Madrigal,http://www.gutenberg.org/ebooks/10255.rdf,2003,3,287
10256,Grupo Planeta,http://www.gutenberg.org/files/10256/10256-m/10256-m-001.mp3,2003,4,288
10257,Whiley,http://www.gutenberg.org/files/10257/10257-m/10257-m-readme.txt,2003,3,289
10258,Boneir,http://www.gutenberg.org/ebooks/10258.rdf,2003,6,290
10259,La martiniere,http://www.gutenberg.org/ebooks/10259.rdf,2003,9,291
1026,Abril Educacao,http://www.gutenberg.org/files/1026/1026-h.zip,1997,7,292
10260,Relx Group,http://www.gutenberg.org/files/10260/10260-m/10260-m-001.mp3,2003,3,293
10261,Pearson,http://www.gutenberg.org/files/10261/10261-m/10261-m-001.mp3,2003,1,294
10262,Relx Group,http://www.gutenberg.org/ebooks/10262.rdf,2003,8,295
10263,Holtzbrinck,http://www.gutenberg.org/files/10263/10263-m/10263-m-readme.txt,2003,5,296
10264,Relx Group,http://www.gutenberg.org/files/10264/10264-m/10264-m-001.mp3,2003,9,297
10265,Hachette Livre,http://www.gutenberg.org/files/10265/10265-m/10265-m-readme.txt,2003,6,298
