id,text,autor
155,Programming can be fun so can cryptography; however they should not be combined.,Kreitzberg and Shneiderman.
156,The perfect project plan is possible if one first documents a list of all the unknowns.,Bill Langley.
157,Without stress nothing would move.,Bill Langley.
158,But in our enthusiasm we could not resist a radical overhaul of the system in which all of its major weaknesses have been exposed analyzed and replaced with new weaknesses.,Bruce Leverett
159,There is nothing more difficult to carry out nor more doubtful of success nor more dangerous to handle than to initiate a new order of things. For the reformer has enemies in all those who profit by the old order and only lukewarm defenders in all those who would profit by the new...,Niccolo Macchiavelli
160,If you want a product with certain characteristics you must ensure that the team has those characteristics before the product's development.,Jim McCarthy and Michele McCarthy - Software for your Head.
161,You can't have great software without a great team and most software teams behave like dysfunctional families.,Jim McCarthy.
162,Good code is its own best documentation. As you're about to add a comment ask yourself 'How can I improve the code so that this comment isn't needed?' Improve the code and then document it to make it even clearer.,Steve McConnell Code Complete.
163,It's hard enough to find an error in your code when you're looking for it; it's even harder when you've assumed your code is error-free.,Steve McConnell Code Complete.
164,Testing by itself does not improve software quality. Test results are an indicator of quality but in and of themselves  they don't improve it. Trying to improve software quality by increasing the amount of testing is like trying to lose weight by weighing yourself more often. What you eat before you step onto the scale determines how much you will weigh and the software development techniques you use determine how many errors testing will find. If you want to lose weight don't buy a new scale; change your diet. If you want to improve your software don't test more; develop better.,Steve McConnell Code Complete.
165,Incompetents invariably make trouble for people other than themselves.,Larry McMurtry.
166,For every complex problem there is an answer that is clear  simple and wrong.,H L Mencken.
167,Haste is of the devil. Slowness is of God.,H L Mencken.
168,Say what you will about the Ten Commandments you must always come back to the pleasant fact that there are only ten of them.,H. L. Mencken.
169,Correctness is clearly the prime quality. If a system does not do what it is supposed to do then everything else about it matters little.,Bertrand Meyer.
170,Incorrect documentation is often worse than no documentation.,Bertrand Meyer.
171,A non-virtual function says you have to do this and you must do it this way. A virtual function says you have to do this  but you don't have to do it this way. That's their fundamental difference.,Scott Meyers.
172,Debugging a Direct3D application can be challenging.,Microsoft's Direct3D Immediate Mode overview..
173,Unformed people delight in the gaudy and in novelty. Cooked people delight in the ordinary.,Erik Naggum.
174,Any fool can use a computer. Many do.,Ted Nelson.
175,Anyone who considers arithmetical methods of producing random numbers is of course in a state of sin.,John von Neumann.
176,There's no sense being exact about something if you don't even know what you're talking about.,John von Neumann.
177,That's the thing about people who think they hate computers. What they really hate is lousy programmers.,Larry Niven and Jerry Pournelle Oath of Fealty.
178,The truth does not change according to our ability to stomach it.,Flannery O'Connor.
179,Elegance is not optional,Richard O'Keefe.
180,The best performance improvement is the transition from the nonworking state to the working state,John Ousterhout.
181,Complexity kills. It sucks the life out of developers it makes products difficult to plan build and test it introduces security challenges and it causes end-user and administrator frustration.,Ray Ozzie.
